City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
161,Bernal,-5.45,-80.75,80.49,58,92,7.29,PE,overcast clouds
162,Dinkelsbuhl,49.0694,10.3199,23.0,100,20,3.44,DE,few clouds
163,Tete,-16.1564,33.5867,77.0,88,75,1.34,MZ,broken clouds
164,Nanortalik,60.1432,-45.2371,20.71,91,21,5.35,GL,few clouds
165,Vao,-22.6667,167.4833,77.77,90,100,11.68,NC,overcast clouds
166,Bella Vista,36.4295,-94.2316,43.0,52,40,11.5,US,scattered clouds
167,Carnarvon,-24.8667,113.6333,78.8,78,33,5.75,AU,scattered clouds
168,Matara,5.9485,80.5353,74.59,89,100,6.96,LK,moderate rain
169,Tulun,54.5611,100.5792,-0.87,92,100,4.54,RU,light snow
170,Quebo,11.3333,-14.9333,71.49,78,96,4.7,GW,overcast clouds
171,Aquiraz,-3.9014,-38.3911,82.4,78,20,11.5,BR,few clouds
172,Bobo Dioulasso,11.1771,-4.2979,77.0,33,74,5.75,BF,broken clouds
173,Maniitsoq,65.4167,-52.9,20.35,88,100,18.79,GL,overcast clouds
174,Jamestown,42.097,-79.2353,34.0,86,90,9.22,US,light snow
175,Saint-Pierre,-21.3393,55.4781,80.6,83,75,2.3,RE,broken clouds
176,Verkhnetulomskiy,68.6073,31.7962,28.4,93,40,6.71,RU,scattered clouds
177,Vila Velha,-20.3297,-40.2925,82.4,69,75,13.8,BR,broken clouds
178,Adrar,20.5022,-10.0711,61.34,22,99,12.01,MR,overcast clouds
179,Straumen,63.8709,11.2999,28.99,86,0,6.91,NO,clear sky
180,Bathsheba,13.2167,-59.5167,80.6,65,20,17.27,BB,few clouds
181,Lebu,-37.6167,-73.65,60.57,70,0,19.39,CL,clear sky
182,Nantucket,41.2835,-70.0995,46.4,87,75,20.71,US,broken clouds
183,Meulaboh,4.1363,96.1285,76.01,85,100,3.47,ID,overcast clouds
184,Bengkulu,-3.8004,102.2655,75.87,76,100,4.81,ID,overcast clouds
185,Bay Roberts,47.5999,-53.2648,30.99,88,97,5.99,CA,overcast clouds
186,Mudanjiang,44.5833,129.6,-13.97,87,78,3.27,CN,broken clouds
187,Airai,-8.9266,125.4092,62.06,100,100,0.36,TL,overcast clouds
188,Yar-Sale,66.8333,70.8333,-7.19,92,91,8.25,RU,overcast clouds
189,Constitucion,-35.3333,-72.4167,67.19,50,0,20.6,CL,clear sky
190,Flinders,-34.5833,150.8552,66.0,56,0,5.01,AU,clear sky
191,Provideniya,64.3833,-173.3,-4.92,84,100,8.34,RU,overcast clouds
192,Upernavik,72.7868,-56.1549,10.44,87,0,7.74,GL,clear sky
193,Barrow,71.2906,-156.7887,-0.4,71,90,19.57,US,haze
194,Amapa,1.0,-52.0,77.38,94,54,3.56,BR,light rain
195,Saint-Leu,-21.15,55.2833,80.6,83,75,2.3,RE,broken clouds
196,Hadejia,12.4498,10.0444,70.25,20,0,7.81,NG,clear sky
197,Victoria,22.2855,114.1577,60.01,79,97,3.0,HK,overcast clouds
198,Patitirion,39.15,23.8667,40.89,83,100,33.38,GR,overcast clouds
199,Ternate,0.8,127.4,79.18,85,100,10.98,ID,overcast clouds
200,Saldanha,-33.0117,17.9442,66.2,77,0,5.75,ZA,clear sky
