City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Erenhot,43.6475,111.9767,-9.06,86,27,8.55,CN,2021-01-14 23:27:07
117,Ust-Shonosha,61.1531,41.343,-9.36,89,100,5.41,RU,2021-01-14 23:27:08
118,Tres Lagoas,-20.7511,-51.6783,76.48,86,100,4.63,BR,2021-01-14 23:27:08
119,Raudeberg,61.9875,5.1352,32.0,86,0,6.29,NO,2021-01-14 23:27:08
120,Vung Tau,10.346,107.0843,71.85,85,60,9.84,VN,2021-01-14 23:24:03
121,Lata,40.1629,-8.3327,53.01,90,83,3.29,PT,2021-01-14 23:27:08
122,Flinders,-34.5833,150.8552,78.01,70,77,1.99,AU,2021-01-14 23:27:08
123,Port Blair,11.6667,92.75,76.98,81,70,11.32,IN,2021-01-14 23:27:08
124,Maldonado,-34.6667,-54.9167,72.0,60,20,17.27,UY,2021-01-14 23:27:08
125,Bubaque,11.2833,-15.8333,78.31,64,16,12.48,GW,2021-01-14 23:27:09
126,Karaton,-6.3424,106.1045,80.01,83,40,5.75,ID,2021-01-14 23:27:09
127,Anadyr,64.75,177.4833,-9.4,77,95,6.71,RU,2021-01-14 23:27:09
128,Las Vegas,36.175,-115.1372,70.0,21,1,10.36,US,2021-01-14 23:23:56
129,Arraial Do Cabo,-22.9661,-42.0278,77.0,83,0,14.97,BR,2021-01-14 23:27:09
130,Sawakin,19.1059,37.3321,77.11,76,19,1.14,SD,2021-01-14 23:27:09
131,Say,13.1007,2.3689,75.2,14,0,5.75,NE,2021-01-14 23:27:09
132,Quatre Cocos,-20.2078,57.7625,77.0,94,40,1.14,MU,2021-01-14 23:27:09
133,Portsmouth,50.799,-1.0913,41.0,87,99,1.01,GB,2021-01-14 23:24:09
134,Kutum,14.2,24.6667,56.77,34,0,10.13,SD,2021-01-14 23:27:09
135,Longyearbyen,78.2186,15.6401,23.0,86,75,6.91,SJ,2021-01-14 23:27:10
